RID,Age,Gender,Zip,Region,Hispanic,Ethnicity,HHI,Education,Political party,
5f872d6d-81c0-4bb3-f8e6-50a290845598,73,Male,37602,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",Republican,
5f873419-141e-0eb2-8de0-2040e4d139df,68,Female,21237,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$10,000 to $14,999","College Degree (such as B.A., B.S.)",Democrat,
5f872dd7-31ca-75e5-4e01-bfe30e09801a,60,Male,17972,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$30,000 to $34,999",High school graduate,Independent,
5f872dde-4158-4bf0-a766-88202e5a33c4,56,Female,29456,South,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Japanese ,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",Republican,
5f873d69-0a4a-a181-7f86-704c3949bc21,49,Male,10013,Midwest,"Yes, Mexican, Mexican American, Chicano",White ,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",Republican,
5f873e01-9c35-1237-0580-3b7e5c0b9396,45,Male,7094,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Doctorate degree,Republican,
5f87464b-2ffa-52e9-b2e9-4de14653131e,43,Male,75201,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Doctorate degree,Democrat,
5f873856-85b0-fd40-1f50-fa0bb8805b6a,43,Male,10002,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Masters degree,Democrat,
5f8745c3-9d3a-21cf-a411-70dfbebaf804,41,Male,10023,Midwest,"Yes, Mexican, Mexican American, Chicano",White ,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",Independent,
5f873f0c-9099-2520-4f10-201ef9564674,40,Male,75202,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",Republican,
5f873741-5e82-0f73-1f2b-bce89b75d1c7,40,Male,33010,South,"Yes, Cuban",White ,"$175,000 to $199,999",Masters degree,Independent,
5f873950-0c6c-c982-25da-0c676cca7b9c,40,Male,33010,South,"Yes, another Hispanic, Latino, or Spanish origin *** Peru ",White ,"$175,000 to $199,999",Masters degree,Independent,
5f872d5b-ab03-f2a6-7bd7-71844c6e15ba,40,Male,15146,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$125,000 to $149,999",Masters degree,Democrat,
5f8748e6-dbb6-10d4-5d22-694c77d57843,40,Male,10013,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$100,000 to $124,999",Masters degree,Republican,
5f873f57-89ee-63b6-136a-0a7935f86d5e,38,Female,10004,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Doctorate degree,Republican,
5f873266-8906-662a-76ef-f675aa61ceb4,35,Female,91204,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$10,000 to $14,999",Completed some high school,Independent,
5f87569e-e741-91b3-6ddc-ef34995c1453,35,Male,10003,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Doctorate degree,Republican,
5f873796-e2eb-255e-2a06-f11b3adde482,27,Male,33901,South,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Other ,"$60,000 to $64,999",Masters degree,Democrat,
5f890023-258b-c462-03d0-2fda3dd8e763,90,Female,85374,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999",Masters degree,Republican,
5f8b5d3a-c47c-9c0c-4cf9-8d3e6ba914ea,80,Male,97459,North,"Yes, Mexican, Mexican American, Chicano",White ,"$25,000 to $29,999",Doctorate degree,Democrat,
5f8c7d4d-938b-ea54-bb8d-1154d2cafd6c,78,Female,91107,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$85,000 to $89,999","Completed some college, but no degree",Democrat,
5f8861ca-8f2b-e71f-eeb1-2771e8db5e2d,77,Female,50312,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$5,000 to $9,999",Completed some high school,Democrat,
5f8ca8a8-f810-900b-bcae-4dbfa878d2f5,77,Female,33433,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$25,000 to $29,999",High school graduate,Independent,
5f88540f-6302-d09c-6005-5818e9a7fef0,76,Female,28226,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000","Completed some college, but no degree",Republican,
5f884de1-ce5c-c9da-ac56-7d8d340a6b86,76,Male,68522,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$40,000 to $44,999","Completed some graduate, but no degree",Independent,
5f8c787a-320d-8e04-7f29-982ed16e0fd7,75,Male,32084,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$65,000 to $69,999",Masters degree,Independent,
5f8c9aea-7c22-8d73-8a3a-f57d06b47ffd,75,Male,29681,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$10,000 to $14,999",Doctorate degree,Republican,
5f8856c9-51d9-b7de-0a5b-30486cdf7ddd,73,Female,70818,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",Republican,
5f8c7121-3aeb-2c1f-d2d0-3a52f780afe7,73,Female,44266,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$25,000 to $29,999",High school graduate,Republican,
5f884daa-0f19-7c1f-9858-ebc8fdca5fc4,73,Female,42420,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$25,000 to $29,999",High school graduate,Democrat,
5f8856ab-766b-32d9-7b72-05c3713006b5,73,Male,29566,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",Independent,
5f884ddd-24b9-cbed-cef1-da4252c4bcf3,72,Female,28210,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999",Associate Degree,Republican,
5f8c3231-6f96-bfd0-a6b9-d21fc5730459,72,Female,3037,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",Independent,
5f8b9079-2754-6848-da3f-febd861befbb,71,Female,98177,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$50,000 to $54,999",Associate Degree,Independent,
5f8c8f5c-1baa-b15a-b2a3-c0a81b45da49,71,Female,34957,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$35,000 to $39,999","Completed some college, but no degree",Democrat,
5f884ea6-af03-3977-09ff-33ee9d5720e8,70,Male,98270,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$45,000 to $49,999","Completed some college, but no degree",Republican,
5f8b815d-b011-549f-5276-e1ca075eb0df,69,Female,76367,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",Democrat,
5f889333-743f-9154-3b52-b39460826147,69,Female,51576,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$40,000 to $44,999",High school graduate,Democrat,
5f8854fb-3574-2c7a-0f63-01b7af4a2508,69,Female,33709,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$40,000 to $44,999","Completed some college, but no degree",Republican,
5f8a4ccd-a78b-31bb-8f63-894a1ebc1588,69,Male,72110,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",Republican,
5f88f6c0-b7b6-2849-56e5-8514d9760fe1,69,Male,55379,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$5,000 to $9,999","Completed some college, but no degree",Republican,
5f8b536a-aba6-a239-39ab-e8940d4dd47c,68,Male,43440,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",Independent,
5f884e86-e905-7a44-f0b1-38e0108af5b3,68,Male,43116,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999",Associate Degree,Democrat,
5f8c4a5a-7d1f-df4e-7259-142dc04dccdd,68,Male,17744,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$5,000 to $9,999",High school graduate,Independent,
5f884de4-6511-be16-3b04-021cf52ee2a9,67,Female,85367,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$35,000 to $39,999",Associate Degree,Independent,
5f885669-f500-5d1e-dbe2-1d1ac85ecfe7,67,Female,18210,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999","Completed some college, but no degree",Republican,
5f884e2d-1dc8-6531-0a4e-892a7b265bf1,66,Female,63104,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999","Completed some graduate, but no degree",Independent,
5f8a4c55-8ae1-40f6-9005-2e74f8a75153,66,Female,32164,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999","Completed some college, but no degree",Republican,
5f884e43-6ad6-7e9c-1248-72a303d33a11,66,Female,30066,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$75,000 to $79,999",Associate Degree,Republican,
5f884e57-c2cc-89ab-6893-9eb3d987e6fa,66,Male,85215,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$35,000 to $39,999",Associate Degree,Independent,
5f8ca644-578e-b492-8dab-64f01eeb2ce8,65,Female,32713,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$60,000 to $64,999",High school graduate,Republican,
5f88fde2-2a3a-16f8-628a-142c5f16a88c,64,Male,30240,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",Masters degree,Independent,
5f884e09-c126-392c-05a1-5eacaa6771bf,64,Male,18977,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Masters degree,Republican,
5f89a068-7584-79d9-6e17-fe648bc692b5,63,Female,32073,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$5,000 to $9,999",Other post high school vocational training,Democrat,
