Response ID,AGE,GENDER,ZIP,REGION,HISPANIC,ETHNICITY,STANDARD_HHI,STANDARD_EDUCATION,STANDARD_POLITICAL_PARTY
5F873376-7A3D-4A6B-0942-2C6DCB4D5BE8,63,Female,60706,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",High school graduate,Republican
5F873370-67B2-EA9E-5795-D4E82339A26F,55,Female,85933,West,"No , not of Hispanic, Latino, or Spanish origin",White ,"$25,000 to $29,999","Completed some college, but no degree",Republican
5F872E08-6786-53B7-C094-24192EEB80CD,65,Female,39332,South,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American","$15,000 to $19,999",Associate Degree,Democrat
5F873419-141E-0EB2-8DE0-2040E4D139DF,68,Female,21237,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$10,000 to $14,999","College Degree (such as B.A., B.S.)",Democrat
5F873385-E722-089B-AF57-2DADD53E160F,75,Male,1080,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999",High school graduate,Republican
5F87315F-36D4-633B-D805-B2F213F797AC,40,Male,19426,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Doctorate degree,Republican
5F8746EB-23B9-2910-C246-8D82CE1C507C,40,Male,19801,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",Masters degree,Republican
5F8746DA-BCB6-7A86-9263-6BBCD57750A4,39,Male,28786,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$125,000 to $149,999",Masters degree,Democrat
5F872D5B-AB03-F2A6-7BD7-71844C6E15BA,40,Male,15146,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$125,000 to $149,999",Masters degree,Democrat
5F872D6A-42D2-C0A9-2994-B3EE87937310,64,Male,23602,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999",Associate Degree,Republican
5F872D51-11C8-AC5D-5A4D-5F0DA5FF3D29,41,Male,8062,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Masters degree,Republican
5F873364-6F99-62D1-E6A7-7E38B2CD87E8,42,Male,10012,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999",Masters degree,Republican
5F87336E-92D3-ABFC-19F3-C6D5F24F4992,40,Male,92345,West,"No , not of Hispanic, Latino, or Spanish origin",White ,"$80,000 to $84,999",Masters degree,Republican
5F87319F-F5C1-9719-4F07-E1DC1E670A69,42,Male,30315,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Masters degree,Republican
5F87318C-C0C0-0ED6-9A84-572078B2491D,40,Male,90077,West,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Doctorate degree,Republican
5F873160-8F73-3C56-AAA5-2552A042C896,50,Male,29301,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Masters degree,Republican
